,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1927100000.0,664300000.0,1953700000.0,1482700000.0
Repayment Of Debt,-700000000.0,-800000000.0,-500000000.0,-600000000.0
Issuance Of Debt,,0.0,0.0,3300000000.0
Issuance Of Capital Stock,15500000.0,14300000.0,15100000.0,10500000.0
Capital Expenditure,-108000000.0,-70300000.0,-58200000.0,-42400000.0
Interest Paid Supplemental Data,201900000.0,206500000.0,222200000.0,197700000.0
Income Tax Paid Supplemental Data,,,,515100000.0
End Cash Position,214300000.0,792800000.0,351500000.0,308300000.0
Beginning Cash Position,792800000.0,351500000.0,308300000.0,709700000.0
Effect Of Exchange Rate Changes,12200000.0,-37500000.0,-12300000.0,10500000.0
Changes In Cash,-590700000.0,478800000.0,55500000.0,-411900000.0
Financing Cash Flow,-499500000.0,-1465300000.0,-1813500000.0,4136900000.0
Cash From Discontinued Financing Activities,0.0,-11400000.0,-6400000.0,-1800000.0
Cash Flow From Continuing Financing Activities,-499500000.0,-1453900000.0,-1807100000.0,4138700000.0
Net Other Financing Charges,,-4100000.0,-100000.0,-42100000.0
Proceeds From Stock Option Exercised,115200000.0,68200000.0,64300000.0,64400000.0
Cash Dividends Paid,-290200000.0,-262300000.0,-236400000.0,-214100000.0
Common Stock Dividend Paid,-290200000.0,-262300000.0,-236400000.0,-214100000.0
Net Common Stock Issuance,15500000.0,14300000.0,15100000.0,10500000.0
Common Stock Issuance,15500000.0,14300000.0,15100000.0,10500000.0
Net Issuance Payments Of Debt,-340000000.0,-1270000000.0,-1650000000.0,4320000000.0
Net Short Term Debt Issuance,360000000.0,-470000000.0,-1150000000.0,1620000000.0
Net Long Term Debt Issuance,-700000000.0,-800000000.0,-500000000.0,2700000000.0
Long Term Debt Payments,-700000000.0,-800000000.0,-500000000.0,-600000000.0
Long Term Debt Issuance,,0.0,0.0,3300000000.0
Investing Cash Flow,-2126300000.0,1209500000.0,-142900000.0,-6073900000.0
Cash From Discontinued Investing Activities,2000000.0,5561300000.0,106300000.0,-6300000.0
Cash Flow From Continuing Investing Activities,-2128300000.0,-4351800000.0,-249200000.0,-6067600000.0
Net Other Investing Changes,-100000.0,-1400000.0,26000000.0,-2600000.0
Dividends Received Cfi,32500000.0,0.0,0.0,
Net Business Purchase And Sale,-2052700000.0,-4280100000.0,-217000000.0,-6022600000.0
Sale Of Business,,,0.0,
Purchase Of Business,-2052700000.0,-4280100000.0,-217000000.0,-6022600000.0
Net Intangibles Purchase And Sale,,,,-17700000.0
Purchase Of Intangibles,,,,-17700000.0
Capital Expenditure Reported,-108000000.0,-70300000.0,-58200000.0,-42400000.0
Operating Cash Flow,2035100000.0,734600000.0,2011900000.0,1525100000.0
Cash From Discontinued Operating Activities,-2300000.0,128000000.0,356100000.0,401900000.0
Cash Flow From Continuing Operating Activities,2037400000.0,606600000.0,1655800000.0,1123200000.0
Taxes Refund Paid,-455900000.0,-1452700000.0,-273900000.0,-479600000.0
Change In Working Capital,46800000.0,14900000.0,114800000.0,149600000.0
Change In Other Working Capital,93900000.0,52900000.0,162200000.0,60700000.0
Change In Payables And Accrued Expense,17200000.0,13700000.0,43000000.0,79500000.0
Change In Accrued Expense,-1000000.0,-7600000.0,27000000.0,74600000.0
Change In Payable,18200000.0,21300000.0,16000000.0,4900000.0
Change In Account Payable,18200000.0,21300000.0,16000000.0,4900000.0
Change In Inventory,-6600000.0,-43100000.0,-300000.0,-8400000.0
Change In Receivables,-57700000.0,-8600000.0,-90100000.0,17800000.0
Changes In Account Receivables,-50200000.0,2500000.0,-73700000.0,22300000.0
Other Non Cash Items,-9900000.0,-6200000.0,-23200000.0,-8000000.0
Stock Based Compensation,123500000.0,118500000.0,123000000.0,108300000.0
Asset Impairment Charge,0.0,0.0,94400000.0,0.0
Deferred Tax,374700000.0,296400000.0,221100000.0,187500000.0
Deferred Income Tax,374700000.0,296400000.0,221100000.0,187500000.0
Depreciation Amortization Depletion,755200000.0,650100000.0,615900000.0,491600000.0
Depreciation And Amortization,755200000.0,650100000.0,615900000.0,491600000.0
Amortization Cash Flow,719800000.0,612800000.0,571900000.0,451000000.0
Amortization Of Intangibles,719800000.0,612800000.0,571900000.0,451000000.0
Depreciation,35400000.0,37300000.0,44000000.0,40600000.0
Operating Gains Losses,-165400000.0,,-21600000.0,
Earnings Losses From Equity Investments,-165400000.0,0.0,0.0,
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,1368400000.0,985600000.0,805300000.0,673800000.0
