,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2027820000.0,2584908000.0,2764457000.0,2371024000.0
Repurchase Of Capital Stock,-3151155000.0,-3282265000.0,-2476048000.0,-2087194000.0
Repayment Of Debt,-3527000000.0,-1085800000.0,-300000000.0,-1923000000.0
Issuance Of Debt,4723444000.0,1633114000.0,0.0,2159515000.0
Issuance Of Capital Stock,91316000.0,79356000.0,84915000.0,62284000.0
Capital Expenditure,-1006264000.0,-563342000.0,-442853000.0,-465579000.0
Interest Paid Supplemental Data,189611000.0,155853000.0,144293000.0,159717000.0
Income Tax Paid Supplemental Data,315060000.0,415165000.0,450935000.0,305087000.0
End Cash Position,279132000.0,108583000.0,362113000.0,465640000.0
Beginning Cash Position,108583000.0,362113000.0,465640000.0,40406000.0
Effect Of Exchange Rate Changes,1139000.0,741000.0,-359000.0,103000.0
Changes In Cash,169410000.0,-254271000.0,-103168000.0,425131000.0
Financing Cash Flow,-1868738000.0,-2662536000.0,-2694858000.0,-1796577000.0
Cash Flow From Continuing Financing Activities,-1868738000.0,-2662536000.0,-2694858000.0,-1796577000.0
Net Other Financing Charges,-5343000.0,-6941000.0,-3725000.0,-8182000.0
Net Common Stock Issuance,-3059839000.0,-3202909000.0,-2391133000.0,-2024910000.0
Common Stock Payments,-3151155000.0,-3282265000.0,-2476048000.0,-2087194000.0
Common Stock Issuance,91316000.0,79356000.0,84915000.0,62284000.0
Net Issuance Payments Of Debt,1196444000.0,547314000.0,-300000000.0,236515000.0
Net Short Term Debt Issuance,,0.0,0.0,-261000000.0
Short Term Debt Payments,,-785800000.0,0.0,-1423000000.0
Short Term Debt Issuance,,785800000.0,0.0,1162000000.0
Net Long Term Debt Issuance,1196444000.0,547314000.0,-300000000.0,497515000.0
Long Term Debt Payments,-3527000000.0,-1085800000.0,-300000000.0,-500000000.0
Long Term Debt Issuance,4723444000.0,1633114000.0,0.0,997515000.0
Investing Cash Flow,-995936000.0,-739985000.0,-615620000.0,-614895000.0
Cash Flow From Continuing Investing Activities,-995936000.0,-739985000.0,-615620000.0,-614895000.0
Net Other Investing Changes,-3211000.0,-3164000.0,-1928000.0,-975000.0
Net Investment Purchase And Sale,,-188282000.0,-180333000.0,-164111000.0
Purchase Of Investment,,-188282000.0,-180333000.0,-164111000.0
Net Business Purchase And Sale,-4150000.0,-188282000.0,-180333000.0,-164111000.0
Purchase Of Business,-4150000.0,-188282000.0,-180333000.0,-164111000.0
Net PPE Purchase And Sale,-988575000.0,-548539000.0,-433359000.0,-449809000.0
Sale Of PPE,17689000.0,14803000.0,9494000.0,15770000.0
Purchase Of PPE,-1006264000.0,-563342000.0,-442853000.0,-465579000.0
Operating Cash Flow,3034084000.0,3148250000.0,3207310000.0,2836603000.0
Cash Flow From Continuing Operating Activities,3034084000.0,3148250000.0,3207310000.0,2836603000.0
Change In Working Capital,195629000.0,516045000.0,662853000.0,725272000.0
Change In Other Working Capital,267307000.0,-94271000.0,60950000.0,178245000.0
Change In Payables And Accrued Expense,252184000.0,1355221000.0,681964000.0,766406000.0
Change In Accrued Expense,11234000.0,19300000.0,18714000.0,-11941000.0
Change In Payable,240950000.0,1335921000.0,663250000.0,778347000.0
Change In Account Payable,207061000.0,1184858000.0,510911000.0,580608000.0
Change In Tax Payable,33889000.0,151063000.0,152339000.0,197739000.0
Change In Income Tax Payable,33889000.0,151063000.0,152339000.0,197739000.0
Change In Inventory,-288323000.0,-669046000.0,-32634000.0,-198864000.0
Change In Receivables,-35539000.0,-75859000.0,-47427000.0,-20515000.0
Changes In Account Receivables,-35539000.0,-75859000.0,-47427000.0,-20515000.0
Other Non Cash Items,7070000.0,5589000.0,6516000.0,9266000.0
Stock Based Compensation,27511000.0,26458000.0,24656000.0,22747000.0
Deferred Tax,48232000.0,69575000.0,20383000.0,12381000.0
Deferred Income Tax,48232000.0,69575000.0,20383000.0,12381000.0
Depreciation Amortization Depletion,409061000.0,357933000.0,328217000.0,314635000.0
Depreciation And Amortization,409061000.0,357933000.0,328217000.0,314635000.0
Net Income From Continuing Operations,2346581000.0,2172650000.0,2164685000.0,1752302000.0
