,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Preferred Shares Number,19367000.0,19435000.0,19580000.0,19580000.0
Ordinary Shares Number,619871237.0,618483565.0,616658593.0,432518743.0
Share Issued,619871237.0,618483565.0,616658593.0,432518743.0
Net Debt,6836278000.0,7010916000.0,7150071000.0,5062527000.0
Total Debt,7726781000.0,7271565000.0,7599481000.0,5452099000.0
Tangible Book Value,9525446000.0,9515489000.0,9899369000.0,5608024000.0
Invested Capital,17142242000.0,16673375000.0,17375071000.0,10963504000.0
Working Capital,1199886000.0,838646000.0,1575405000.0,1067567000.0
Net Tangible Assets,9525465000.0,9515508000.0,9899389000.0,5608044000.0
Capital Lease Obligations,109985000.0,113679000.0,123779000.0,96619000.0
Common Stock Equity,9525446000.0,9515489000.0,9899369000.0,5608024000.0
Preferred Stock Equity,19000.0,19000.0,20000.0,20000.0
Total Capitalization,17142261000.0,16673394000.0,17375091000.0,10963524000.0
Total Equity Gross Minority Interest,9725735000.0,9739842000.0,10123662000.0,5686038000.0
Minority Interest,200270000.0,224334000.0,224273000.0,77994000.0
Stockholders Equity,9525465000.0,9515508000.0,9899389000.0,5608044000.0
Gains Losses Not Affecting Retained Earnings,3329000.0,10581000.0,2216000.0,0.0
Other Equity Adjustments,3329000.0,10581000.0,2216000.0,
Minimum Pension Liabilities,,10581000.0,2216000.0,
Retained Earnings,-122576000.0,-119548000.0,299115000.0,-162812000.0
Additional Paid In Capital,9638494000.0,9618271000.0,9591871000.0,5766511000.0
Capital Stock,6218000.0,6204000.0,6187000.0,4345000.0
Common Stock,6199000.0,6185000.0,6167000.0,4325000.0
Preferred Stock,19000.0,19000.0,20000.0,20000.0
Total Liabilities Net Minority Interest,8548287000.0,8086280000.0,8335537000.0,5928460000.0
Total Non Current Liabilities Net Minority Interest,8326742000.0,7873139000.0,8109863000.0,5776637000.0
Other Non Current Liabilities,599961000.0,601574000.0,510382000.0,324538000.0
Preferred Securities Outside Stock Equity,,,,15784000.0
Long Term Debt And Capital Lease Obligation,7726781000.0,7271565000.0,7599481000.0,5452099000.0
Long Term Capital Lease Obligation,109985000.0,113679000.0,123779000.0,96619000.0
Long Term Debt,7616796000.0,7157886000.0,7475702000.0,5355480000.0
Current Liabilities,221545000.0,213141000.0,225674000.0,151823000.0
Payables And Accrued Expenses,221545000.0,213141000.0,225674000.0,151823000.0
Payables,221545000.0,213141000.0,225674000.0,151823000.0
Dividends Payable,5308000.0,5326000.0,5366000.0,5366000.0
Accounts Payable,216237000.0,207815000.0,220308000.0,146457000.0
Total Assets,18274022000.0,17826122000.0,18459199000.0,11614498000.0
Total Non Current Assets,16852591000.0,16774335000.0,16658120000.0,10395108000.0
Other Non Current Assets,241948000.0,253779000.0,195715000.0,97225000.0
Non Current Deferred Assets,155567000.0,147863000.0,144461000.0,135967000.0
Investments And Advances,1231893000.0,1199132000.0,1128914000.0,707834000.0
Other Investments,144089000.0,107581000.0,122015000.0,117140000.0
Long Term Equity Investment,1087804000.0,1091551000.0,1006899000.0,590694000.0
Investmentsin Joint Venturesat Cost,1087804000.0,1091551000.0,1006899000.0,590694000.0
Investment Properties,15094925000.0,15039828000.0,15041572000.0,9351713000.0
Net PPE,128258000.0,133733000.0,147458000.0,102369000.0
Gross PPE,128258000.0,133733000.0,147458000.0,102369000.0
Other Properties,128258000.0,133733000.0,147458000.0,102369000.0
Current Assets,1421431000.0,1051787000.0,1801079000.0,1219390000.0
Restricted Cash,3239000.0,2859000.0,9032000.0,235000.0
Receivables,307617000.0,304226000.0,254677000.0,219248000.0
Other Receivables,65007000.0,78783000.0,71008000.0,40862000.0
Accounts Receivable,242610000.0,225443000.0,183669000.0,178386000.0
Cash Cash Equivalents And Short Term Investments,1110575000.0,744702000.0,1537370000.0,999907000.0
Other Short Term Investments,330057000.0,597732000.0,1211739000.0,706954000.0
Cash And Cash Equivalents,780518000.0,146970000.0,325631000.0,292953000.0
