,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,6765000000.0,7247000000.0,7277000000.0,9667000000.0
Repurchase Of Capital Stock,-2676000000.0,-2316000000.0,-1900000000.0,-2700000000.0
Repayment Of Debt,-2174000000.0,-3574000000.0,-2494000000.0,-3752000000.0
Issuance Of Debt,2913000000.0,5369000000.0,4837000000.0,3940000000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-1296000000.0,-1152000000.0,-1087000000.0,-1021000000.0
End Cash Position,6526000000.0,7387000000.0,4880000000.0,5741000000.0
Beginning Cash Position,7387000000.0,4880000000.0,5741000000.0,4937000000.0
Effect Of Exchange Rate Changes,-1000000.0,-14000000.0,-10000000.0,7000000.0
Changes In Cash,-860000000.0,2521000000.0,-851000000.0,797000000.0
Financing Cash Flow,-3349000000.0,-1318000000.0,423000000.0,-2567000000.0
Cash Flow From Continuing Financing Activities,-3349000000.0,-1318000000.0,423000000.0,-2567000000.0
Net Other Financing Charges,-92000000.0,-52000000.0,-75000000.0,-126000000.0
Proceeds From Stock Option Exercised,152000000.0,182000000.0,203000000.0,176000000.0
Cash Dividends Paid,-1395000000.0,-1229000000.0,-1104000000.0,-954000000.0
Common Stock Dividend Paid,-1395000000.0,-1229000000.0,-1104000000.0,-954000000.0
Net Common Stock Issuance,-2676000000.0,-2316000000.0,-1900000000.0,-2700000000.0
Common Stock Payments,-2676000000.0,-2316000000.0,-1900000000.0,-2700000000.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,739000000.0,1795000000.0,2343000000.0,188000000.0
Net Short Term Debt Issuance,74000000.0,623000000.0,-51000000.0,-214000000.0
Short Term Debt Payments,-265000000.0,-1675000000.0,-1426000000.0,-1670000000.0
Short Term Debt Issuance,339000000.0,2298000000.0,1375000000.0,1456000000.0
Net Long Term Debt Issuance,665000000.0,1172000000.0,2394000000.0,402000000.0
Long Term Debt Payments,-1909000000.0,-1899000000.0,-1068000000.0,-2082000000.0
Long Term Debt Issuance,2574000000.0,3071000000.0,3462000000.0,2484000000.0
Investing Cash Flow,-5572000000.0,-4560000000.0,-9638000000.0,-7324000000.0
Cash Flow From Continuing Investing Activities,-5572000000.0,-4560000000.0,-9638000000.0,-7324000000.0
Net Other Investing Changes,-24000000.0,-421000000.0,-1019000000.0,-894000000.0
Net Investment Purchase And Sale,-2700000000.0,-2338000000.0,-4056000000.0,-3433000000.0
Sale Of Investment,13536000000.0,22608000000.0,14613000000.0,16059000000.0
Purchase Of Investment,-16236000000.0,-24946000000.0,-18669000000.0,-19492000000.0
Net Business Purchase And Sale,-1552000000.0,-649000000.0,-3476000000.0,-1976000000.0
Purchase Of Business,-1552000000.0,-649000000.0,-3476000000.0,-1976000000.0
Net PPE Purchase And Sale,-1296000000.0,-1152000000.0,-1087000000.0,-1021000000.0
Purchase Of PPE,-1296000000.0,-1152000000.0,-1087000000.0,-1021000000.0
Operating Cash Flow,8061000000.0,8399000000.0,8364000000.0,10688000000.0
Cash Flow From Continuing Operating Activities,8061000000.0,8399000000.0,8364000000.0,10688000000.0
Change In Working Capital,-535000000.0,423000000.0,1123000000.0,5254000000.0
Change In Other Working Capital,194000000.0,-446000000.0,48000000.0,319000000.0
Change In Other Current Assets,-754000000.0,144000000.0,-29000000.0,-315000000.0
Change In Payables And Accrued Expense,1640000000.0,824000000.0,719000000.0,1978000000.0
Change In Payable,1640000000.0,824000000.0,719000000.0,1978000000.0
Change In Account Payable,1640000000.0,824000000.0,719000000.0,1978000000.0
Change In Receivables,-1762000000.0,-2510000000.0,-2138000000.0,-256000000.0
Stock Based Compensation,289000000.0,264000000.0,255000000.0,283000000.0
Asset Impairment Charge,446000000.0,7000000.0,73000000.0,198000000.0
Deferred Tax,-602000000.0,-115000000.0,342000000.0,-540000000.0
Deferred Income Tax,-602000000.0,-115000000.0,342000000.0,-540000000.0
Depreciation And Amortization,1745000000.0,1675000000.0,1302000000.0,1154000000.0
Operating Gains Losses,727000000.0,257000000.0,-880000000.0,-233000000.0
Earnings Losses From Equity Investments,33000000.0,-293000000.0,-562000000.0,-51000000.0
Gain Loss On Investment Securities,694000000.0,550000000.0,-318000000.0,-182000000.0
Net Income From Continuing Operations,5991000000.0,5888000000.0,6149000000.0,4572000000.0
