,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-520300000.0,440100000.0,720000000.0,580600000.0
Repurchase Of Capital Stock,-81200000.0,-108900000.0,-408000000.0,-58400000.0
Repayment Of Debt,-1200000000.0,-1400000.0,-1203100000.0,-100000000.0
Issuance Of Debt,1498600000.0,0.0,1000000000.0,27100000.0
Issuance Of Capital Stock,5300000.0,9400000.0,7900000.0,24700000.0
Capital Expenditure,-133900000.0,-142300000.0,-100100000.0,-67200000.0
Interest Paid Supplemental Data,229600000.0,144000000.0,125800000.0,141800000.0
Income Tax Paid Supplemental Data,180100000.0,122000000.0,139200000.0,82100000.0
End Cash Position,302400000.0,572000000.0,516800000.0,568900000.0
Other Cash Adjustment Outside Changein Cash,,,,0.0
Beginning Cash Position,572000000.0,516800000.0,568900000.0,339100000.0
Effect Of Exchange Rate Changes,-60300000.0,-23400000.0,-12300000.0,1600000.0
Changes In Cash,-209300000.0,78600000.0,-39800000.0,228200000.0
Financing Cash Flow,331500000.0,-237400000.0,-747900000.0,-250300000.0
Cash From Discontinued Financing Activities,,,0.0,0.0
Cash Flow From Continuing Financing Activities,331500000.0,-237400000.0,-747900000.0,-250300000.0
Net Other Financing Charges,-1400000.0,15800000.0,-2400000.0,-12200000.0
Cash Dividends Paid,-290500000.0,-267500000.0,-247200000.0,-228500000.0
Common Stock Dividend Paid,-290500000.0,-267500000.0,-247200000.0,-228500000.0
Net Common Stock Issuance,-75900000.0,-99500000.0,-400100000.0,-33700000.0
Common Stock Payments,-81200000.0,-108900000.0,-408000000.0,-58400000.0
Common Stock Issuance,5300000.0,9400000.0,7900000.0,24700000.0
Net Issuance Payments Of Debt,699300000.0,113800000.0,-98200000.0,24100000.0
Net Short Term Debt Issuance,400700000.0,115200000.0,104900000.0,97000000.0
Net Long Term Debt Issuance,298600000.0,-1400000.0,-203100000.0,-72900000.0
Long Term Debt Payments,-1200000000.0,-1400000.0,-1203100000.0,-100000000.0
Long Term Debt Issuance,1498600000.0,0.0,1000000000.0,27100000.0
Investing Cash Flow,-154400000.0,-266400000.0,-112000000.0,-169300000.0
Cash From Discontinued Investing Activities,0.0,0.0,19700000.0,31100000.0
Cash Flow From Continuing Investing Activities,-154400000.0,-266400000.0,-131700000.0,-200400000.0
Net Other Investing Changes,-9800000.0,23600000.0,-13700000.0,-20400000.0
Net Investment Purchase And Sale,0.0,0.0,-12700000.0,-47200000.0
Purchase Of Investment,0.0,0.0,-12700000.0,-47200000.0
Net Business Purchase And Sale,-16500000.0,-198200000.0,-5200000.0,-65600000.0
Sale Of Business,,,,0.0
Purchase Of Business,-16500000.0,-198200000.0,-5200000.0,-65600000.0
Net Intangibles Purchase And Sale,,,,-47200000.0
Purchase Of Intangibles,,,,-47200000.0
Net PPE Purchase And Sale,5800000.0,50500000.0,0.0,0.0
Sale Of PPE,5800000.0,50500000.0,0.0,0.0
Capital Expenditure Reported,-133900000.0,-142300000.0,-100100000.0,-67200000.0
Operating Cash Flow,-386400000.0,582400000.0,820100000.0,647800000.0
Cash From Discontinued Operating Activities,-86100000.0,-77600000.0,-78500000.0,-89000000.0
Cash Flow From Continuing Operating Activities,-300300000.0,660000000.0,898600000.0,736800000.0
Change In Working Capital,-803200000.0,-358100000.0,-111400000.0,-121700000.0
Change In Other Working Capital,-240400000.0,97400000.0,131700000.0,-139300000.0
Change In Other Current Liabilities,-72400000.0,-64200000.0,65600000.0,64800000.0
Change In Payables And Accrued Expense,-610000000.0,234900000.0,253100000.0,79000000.0
Change In Accrued Expense,16000000.0,69600000.0,108700000.0,17200000.0
Change In Payable,-626000000.0,165300000.0,144400000.0,61800000.0
Change In Account Payable,-626000000.0,165300000.0,144400000.0,61800000.0
Change In Tax Payable,,,-90300000.0,36200000.0
Change In Income Tax Payable,,,-90300000.0,36200000.0
Change In Inventory,-72800000.0,-182300000.0,-320700000.0,-54400000.0
Change In Receivables,192400000.0,-443900000.0,-241100000.0,-71800000.0
Changes In Account Receivables,192400000.0,-443900000.0,-241100000.0,-71800000.0
Other Non Cash Items,145100000.0,26000000.0,-5100000.0,43900000.0
Stock Based Compensation,25900000.0,24200000.0,17800000.0,18900000.0
Deferred Tax,-1292800000.0,-52700000.0,10600000.0,33900000.0
Deferred Income Tax,-1292800000.0,-52700000.0,10600000.0,33900000.0
Depreciation Amortization Depletion,184300000.0,169400000.0,170900000.0,162700000.0
Depreciation And Amortization,184300000.0,169400000.0,170900000.0,162700000.0
Operating Gains Losses,20900000.0,12500000.0,10500000.0,19300000.0
Pension And Employee Benefit Expense,20900000.0,12500000.0,10500000.0,19300000.0
Earnings Losses From Equity Investments,,,,0.0
Net Income From Continuing Operations,1419500000.0,838700000.0,805300000.0,579800000.0
