,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.219,0.224,0.221872,0.226836
Normalized EBITDA,3615479000.0,3314308000.0,3254899000.0,2742166000.0
Net Income From Continuing Operation Net Minority Interest,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Reconciled Depreciation,409061000.0,357933000.0,328217000.0,314635000.0
Reconciled Cost Of Revenue,7707447000.0,7028154000.0,6307614000.0,5518801000.0
EBITDA,3615479000.0,3314308000.0,3254899000.0,2742166000.0
EBIT,3206418000.0,2956375000.0,2926682000.0,2427531000.0
Net Interest Income,-196768000.0,-152957000.0,-142797000.0,-158635000.0
Interest Expense,201668000.0,157720000.0,144768000.0,161126000.0
Interest Income,4900000.0,4763000.0,1971000.0,2491000.0
Normalized Income,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Net Income From Continuing And Discontinued Operation,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Total Expenses,12625874000.0,11455369000.0,10410395000.0,9185157000.0
Total Operating Income As Reported,3186376000.0,2954491000.0,2917168000.0,2419336000.0
Diluted Average Shares,60998000.0,64962000.0,69611000.0,74462000.0
Basic Average Shares,60475000.0,64372000.0,68967000.0,73817000.0
Diluted EPS,38.47,33.44,31.1,23.53
Basic EPS,38.8,33.75,31.39,23.74
Diluted NI Availto Com Stockholders,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Net Income Common Stockholders,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Net Income,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Net Income Including Noncontrolling Interests,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Net Income Continuous Operations,2346581000.0,2172650000.0,2164685000.0,1752302000.0
Tax Provision,658169000.0,626005000.0,617229000.0,514103000.0
Pretax Income,3004750000.0,2798655000.0,2781914000.0,2266405000.0
Other Income Expense,15142000.0,-2879000.0,7543000.0,5704000.0
Other Non Operating Income Expenses,15142000.0,-2879000.0,7543000.0,5704000.0
Net Non Operating Interest Income Expense,-196768000.0,-152957000.0,-142797000.0,-158635000.0
Interest Expense Non Operating,201668000.0,157720000.0,144768000.0,161126000.0
Interest Income Non Operating,4900000.0,4763000.0,1971000.0,2491000.0
Operating Income,3186376000.0,2954491000.0,2917168000.0,2419336000.0
Operating Expense,4918427000.0,4427215000.0,4102781000.0,3666356000.0
Selling General And Administration,4918427000.0,4427215000.0,4102781000.0,3666356000.0
Gross Profit,8104803000.0,7381706000.0,7019949000.0,6085692000.0
Cost Of Revenue,7707447000.0,7028154000.0,6307614000.0,5518801000.0
Total Revenue,15812250000.0,14409860000.0,13327563000.0,11604493000.0
Operating Revenue,15812250000.0,14409860000.0,13327563000.0,11604493000.0
